,0
__von_schwartz__,2
_valentina_burtseva_,2
_år,4
aa,4
aaaaah,1
aaaaalt,2
aabel,1
aabenhus,2
aabenraa,68
aabling,76
aablingarm,2
aabybro,7
aaen,1
aag,19
aagaard,2
aagard,1
aakerlund,8
aalborg,329
aalborgarbejd,1
aalborghus,1
aalborgi,2
aalbæk,1
aalestrup,2
aamand,3
aamund,4
aandahl,1
aar,10
aargh,2
aarhus,757
aarhusian,1
aarhusiansk,7
aaron,2
aas,2
aaskild,12
aaskov,1
aasted,4
aastrup,2
aasvang,5
ab,6
abadi,1
abbey,2
abby,5
abc,40
abdel,6
abdic,4
abdirahman,1
abdol,1
abdrabbuh,2
abduhllah,1
abdulhadi,4
abdullah,28
abdullahi,1
abdullahsit,1
abdulrahman,3
abe,1
abel,1
abemennesk,1
aben,1
abena,2
aber,2
aberde,28
abildgaard,9
abildhaug,9
abildskov,16
abildskovsmand,1
abildskovsom,1
abnorm,1
abon,2
abonnent,1
abort,492
abortafgør,1
abortemn,2
abortervar,2
abortforbud,1
abortion,4
abortklinik,20
abortkr,3
abortkritisk,1
abortlov,2
abortlovgivning,8
abortmodstand,5
abortområd,2
abortpil,2
abortskubbed,2
abortstatistik,2
abortudbyd,1
aboslut,3
about,9
abraham,1
abrahams,2
absentia,3
abshir,6
absolut,104
absolutely,1
absolutmest,3
absolutnødløsning,3
absorb,2
abstinens,3
abstrak,5
absurd,19
absurdat,2
absurdit,1
abu,12
abuela,1
abus,2
abv,4
ac,14
academy,4
acceler,15
accent,5
accept,299
acceptabel,4
acceptabelt,10
acceptabl,1
account,2
accountabl,2
accusation,2
ach,1
acma,4
acn,1
acr,1
acros,1
act,7
acta,4
action,6
actionprogram,1
actual,6
actually,1
acut,1
ada,1
adalja,1
adam,56
adamskostum,1
adamu,1
add,3
addam,2
ade,3
adelaid,6
adelskov,2
aden,2
adfrivil,1
adfærd,101
adfærdsforsk,1
adfærdsproblem,2
adfærdsterapi,2
adfærdstræning,1
adfærdsvansk,2
adgad,1
adgang,297
adganggiv,1
adgangsforhold,2
adgangsgiv,40
adgangskrav,31
adgangskvotient,2
adgangsnøgl,2
adgangsregl,1
adgangssnit,1
adganskrav,3
adhalgulv,1
adhan,2
adhanom,3
adhd,8
adida,4
adjudant,1
adjudantvæng,1
adkøkkendør,1
adl,6
adlyd,2
adlød,4
adm,7
administr,56
administration,52
administrationschef,2
administrationselevplad,2
administrationsomkostning,1
administrativ,18
administrativt,15
administrator,6
administrerendedirektør,1
admir,6
admiral,19
admit,3
adolf,7
adolphs,6
adopt,42
adoptant,6
adoption,27
adoptionbureau,2
adoptionsadvokat,1
adoptionsdam,1
adoptivbarn,5
adoptivbørn,4
adoptivfamili,8
adoptivfar,6
adoptivforældr,10
adoptivmor,3
adport,3
adra,8
adrenalin,22
adrenalinsus,1
adrenocortical,1
adrenokortikalt,1
adres,55
adrian,6
adriana,3
adrien,1
adryg,2
adsbøl,12
adskel,2
adskil,160
adskilt,24
adskiltfra,4
