Unnamed: 0,Month
0,2220
1,1450
2,1360
3,1310
4,1700
5,1610
6,814
7,2070
8,1870
9,1840
10,1470
11,1770
12,1420
13,1810
14,1490
15,1120
16,1020
17,1180
18,1180
19,1060
20,1100
21,2020
22,1090
23,1360
24,1120
25,852
26,1010
27,1430
28,1590
29,1480
30,628
31,1360
32,1200
33,861
34,729
35,972
36,975
37,1130
38,1120
39,2000
40,1630
41,964
42,267
43,547
44,571
45,558
46,592
47,552
48,999
49,710
0,572
1,746
2,729
3,310
4,335
5,697
6,626
7,744
8,578
9,724
10,580
11,573
12,611
13,699
14,872
15,585
16,240
17,596
18,581
19,620
20,721
21,788
22,1310
23,828
24,787
25,861
26,642
27,828
28,458
29,605
30,670
31,557
32,640
33,639
34,636
35,730
36,583
37,761
38,909
39,600
40,338
41,691
42,815
43,786
44,727
45,787
46,502
47,627
48,664
49,609
50,11600
51,326
52,441
53,343
54,867
55,860
56,531
57,1160
58,813
59,432
60,517
61,1300
62,9220
63,744
64,518
65,972
66,1050
67,958
68,1270
69,1900
70,436
71,1700
72,2780
73,1160
0,10600
1,22
2,423
3,3030
