,titles,sub_header,h2,content,author,tag,date,link,source
0,danske sygeplejersker får job i norge,"krise, fyringer og ansættelsesstop får sygeplejerskerne til at tage til norge for at arbejde.",markant flere,"antallet af danske sygeplejersker, der har fået autorisation i norge, er næsten tredoblet på et år. krise, fyringer og ansættelsesstop får sygeplejerskerne til at tage til norge for at arbejde. - sygeplejersker brænder for deres fag, og det er helt naturligt, at de søger derhen, hvor der er arbejde. desværre har vi en situation i danmark, hvor arbejdsgiverne har valgt ikke at ansætte alle de kompetente sygeplejersker der er, og det er meget bekymrende, siger grete christensen, formand for dansk sygeplejeråd. de seneste tal viser, at antallet af danske sygeplejersker, der har fået autorisation i norge, er steget fra 154 i januar 2010 til 434 i januar 2011. - det er helt afgørende, at vi herhjemme får gjort alt, hvad der er muligt for, at tilbyde vores sygeplejersker job i kommuner og regionerne, siger grete christensen.",ritzau/,Penge,2012-01-19 13:27:00+00:00,https://www.dr.dk/nyheder/penge/danske-sygeplejersker-faar-job-i-norge,DR
1,næsten ingen ledige sygeplejersker,trods fyringsrunder i både 2010 og 2011 er arbejdsløsheden på 1 pct. i region sjælland,,"trods fyringsrunder på sygehusene i både 2010 og 2011 og nedlæggelse af sygehuse i faxe, nakskov og kalundborg, så er der meget få arbejdsløse sygeplejersker i region sjælland. det seneste tal viser 85 ledige og det er en arbejdsløsheds-procent på ca.. kredsformand helle dirksen er i tvivl om de ledige simpelthen er rejst andre steder hen. hun mener ikke, sygeplejerskerne protesterede for voldsomt under fyringsrunderne: - jeg kan godt se at mange andre faggrupper blev hårdere ramt end os, men vores bekymring gik især på de nyuddannede, som har svært ved at finmde fodfæste på arbejdsmarkedet, siger helle dirksen, knap halvdelen af de 85 ledige i november var nyuddannede. til februar bliver et nyt hold sygeplejersker færdige fra sygeplejeskolerne.",henny mortensen,Sjælland,2012-01-28 07:42:00+00:00,https://www.dr.dk/nyheder/regionale/sjaelland/naesten-ingen-ledige-sygeplejersker,DR
5,regionsformand: jeg har ikke noget at undskylde,"steen bach nielsen forstår ikke, at sygeplejersker kan føle deres ytringsfrihed krænket.",,"der er ikke noget at undskylde eller beklage... formanden for region sjælland - steen bach nielsen - har ikke tænkt sig at opfylde kravet om offentlig undskyldning til ansatte på sygehuset i nykøbing falster. dermed spidser striden til mellem den socialdemokratiske regionsformand og dansk sygeplejeråd. rådet truer med at anmelde steen bach nielsen til ombudsmanden for krænkelse af offentligt ansattes ytringsfrihed, fordi han i sagen om overdødelighed på sygehuset i nykøbing falster ""stærkt opfordrede""lokalt ansatte sygeplejersker til at samarbejde ""i stedet for at diskutere"" via peressen. regionsformanden kan ikke forstå, at sygeplejerskerne har opfattet det, som at han ville have dem til at lade være med at ytre kritik i det offentlige. - og jeg kan jo ikke sige undskyld, fordi jeg gerne vil have en dialog, mener steen bach nielsen. der er aftalt møde onsdag formiddagmellem region sjælland ogdansk sygeplejeråd. kredsformand helle dirksen siger inden mødet, at dsr står fast på kravet om offentlig undskyldning og beklagelse overfor fællestillidsmanden og sygeplejerskerne i nykøbing falster.",jørgen hansen,Sjælland,2012-01-24 15:39:00+00:00,https://www.dr.dk/nyheder/regionale/sjaelland/regionsformand-jeg-har-ikke-noget-undskylde,DR
14,sygeplejersker vil skære i nattevagter,risiko for at natarbejde er kræftfremkaldende får sygeplejerskerne til at kræve højst to nattevagter i træk.,færre nattevagter fast døgnrytme er vigtig,"dansk sygeplejeråd, der repræsenterer landets omkring 70.000 sygeplejersker, mener, at det skal være muligt for medarbejdere kun at tage højst to nattevagter i træk. meldingen kommer på baggrund af anbefalinger fra danske og internationale eksperter til, hvordan man forebygger brystkræft ved natarbejde. blandt rådene er hurtigt roterende vagtskift med kun en til to på hinanden følgende nattevagter fremfor tre eller flere nattevagter i træk. - det er rigtig godt, at eksperterne kommer med nogle konkrete anbefalinger. og højst to nattevagter i træk er i mine øjne den klareste anbefaling af alle, siger dorte steenberg, næstformand i dansk sygeplejeråd, og fortsætter: - jeg går nu ud fra, at arbejdsgiverne vil tage ansvar og sørge for, at det bliver muligt for medarbejderne at følge eksperternes råd. - det er jo helt nødvendigt, at sygeplejersker arbejder om natten og tager sig af patienter. - men når undersøgelser har vist en klar sammenhæng mellem brystkræft og natarbejde, så har vi en forpligtelse til at gøre alt, hvad vi kan for at forebygge, at medarbejdere bliver syge, siger hun. en anden ekspertanbefaling er at tilrettelægge arbejdet med uret. så ens vagter går fra dag til aften, fra aften til nat og fra nat til dag. ifølge undersøgelser giver det mindre forstyrrelse af døgnrytmen. - hvis døgnrytmen hele tiden bliver udfordret, så stresser man kroppen, og det kan have en meget negativ effekt. - derfor er det helt afgørende, at man sørger for at lave nogle vagtplaner, som følger med uret, så der er mindst muligt pres på, og forløbene bliver mere naturlige,"" siger dorte steenberg. /ritzau/",ritzau,Indland,2012-02-21 10:48:00+00:00,https://www.dr.dk/nyheder/indland/sygeplejersker-vil-skaere-i-nattevagter,DR
15,udenlandske sygeplejersker er taget hjem,det er slut med sygeplejerudtryk på gebrokkent dansk på de nordjyske sygehuse.,,"det er slut med sygeplejerudtryk på gebrokkent dansk på de nordjyske sygehuse. for få år siden måtte sygehusene importere sygeplejersker fra tyskland. men siden har besparelser betydet, at der er ledige danske sygeplejersker, så nu er der ikke længere bruge for at hente sygeplejersker fra andre lande. - i øjeblikket er der ingen interesse for at rekruttere udenlandske sygeplejersker, fortæller jytte wester. hun er formand for dansk sygeplejeråd i nordjylland. tilbage i 2008 skulle hun håndtere, at region nordjylland lavede en aftale med mere end 40 tyske sygeplejersker, fordi der manglede arbejdskraft. men i dag må jytte wester i stedet guide medlemmer, der ikke kan få arbejde. - i øjeblikket er det den værste situation vi har haft i mange år. vi har arbejdsløse sygeplejersker, og den kø vokser og vokser, siger hun. den gang brugte regionen mange penge på at lære de udenlandske sygeplejersker dansk og integrere dem. og det var en nødvendighed, mener jytte wester. - det var en hjælp til at få tilstrækkelig med arbejdskraft, at man gjorde en indsats for at få tilstrækkeligt med sygeplejersker, siger hun.",mikkel from nielsen,Nordjylland,2012-02-27 15:26:00+00:00,https://www.dr.dk/nyheder/regionale/nordjylland/udenlandske-sygeplejersker-er-taget-hjem,DR
16,sygeplejersker uddanner sig til ledighed,85 procent af de nyuddannede sygeplejersker fra uddannelserne i viborg og holstebro er arbejdsløse.,fyringer gør det sværere jobmesse og jobrotation,"sygeplejersker bliver i stor stil uddannet til ledighed. 85 procent af de nyuddannede sygeplejersker fra uddannelserne i viborg og holstebro er arbejdsløse. - så går der tre og et halvt år med su ogstudie, og så kommer man ud på et arbejdsmarked, hvor der ikke er noget arbejde at få, siger anita staarup, som en af de nyuddannede sygeplejersker. alle de nyuddannede fra holstebro kommer ud til arbejdsløshed, mens kun syv sygeplejersker fra uddannelsen i viborg har et job. det seneste halve års tid er op mod 200 sygeplejersker blevet fyret ved hospitalsenheden vest og på sygehuset i viborg. det giver endnu ringere chancer, lyder det fra dansk sygeplejeråd. - på grund af de store besparelser vi har været igennem i region midtjylland, så er der jo kommet en del ledige sygeplejersker, samtidig med at de nyuddannede har meget svært ved at få job, siger bente rasmussen, der er næstformand for sygeplejerskerne i region midtjylland. det betyder, at nogle sygeplejersker søger mod udlandet - for eksempel norge, hvor der er arbejde at få. dansk sygeplejeråd i region midtjylland holder en jobmesse den 6. marts, hvor der også bliver mulighed for at høre om ledige stillinger i norge. i viborg kommune kører der et projekt med jobrotation for sygeplejersker. det arbejder dansk sygeplejeråd også på at starte op i holstebro-området. lige nu er der i alt 237 ledige sygeplejersker i region midtjylland.",pia stenbæk,Midt- og Vestjylland,2012-02-07 18:02:07+00:00,https://www.dr.dk/nyheder/regionale/midtvest/sygeplejersker-uddanner-sig-til-ledighed,DR
17,finder hurtigere arbejde,arbejdsløsheden for nyuddannede sygeplejersker er på to år tordnet op fra to til 17 procent. den laveste andel er dog stadig i syddanmark.,,"nyuddannede sygeplejersker har svært ved at finde arbejde. 17 procent af de nyuddannede fra sidste sommers hold har trillet tommelfingre i lang tid. men i syddanmark er billedet lidt mere positivt. det glæder formanden for dansk sygeplejeråd i syddanmark, john christiansen. - den primære forklaring er, at især sygehusområdet har indset, at det er vigtigt at have en lidt højere normering end at bruge eksterne vikarer. så det betyder, at man har fastansat lidt flere sygeplejerske på sygehusområdet end tidligere, siger han den hurtigere adgang til arbejdsmarkedet er ifølge sygeplejerskenes formand vigtigt for at få en god start i faget. - det gør jo, at man rodfæstes meget hurtigere, og for den enkelte sygeplejerske betyder det, at man bedre kan etablere sig i sit private liv. det betyder også, at sandsynligheden for, at de bliver indenfor sygeplejerskefaget er meget, meget større, siger john christiansen.",rasmus kjølby,Trekantområdet,2012-02-15 07:02:00+00:00,https://www.dr.dk/nyheder/regionale/trekanten/finder-hurtigere-arbejde,DR
19,flyt til syddanmark og få sygeplejejob,ledigheden blandt nyuddannede sygeplejersker på landsplan er steget. dog ansætter region syddanmark flere sygeplejersker på sygehuse end tidligere.,vi ansætter flere sygeplejersker vigtigt at komme hurtigt på arbejdsmarkedet,"det er blevet sværere for nyuddannede sygeplejersker at finde et job - ledigheden på landsplan er steget fra 2 til 17 procent. menhvis de vil have heldet med sig, skal de overveje at flytte til region syddanmark. det er nemlig her, der er størst chance for at blive ansat. formand for sygeplejerådet i syddanmark, john christiansen, tror, det skyldes et ændret forhold mellem vikarer og fastansatte: - især sygehusområdet har indset at deter vigtigt at have en lidt højere nomering end at bruge eksterne vikarer. det betyder at manhar ansat lidt flere sygeplejerskerpå sygehusområdet end tidligere. hanmener, at den hurtige adgang til arbejdsmarkedet er vigtig for at sygeplejerskerne kommer godt ind i faget. - man rodfæstes langt hurtigere. helt personligt for den enkelte sygeplejerske gør det selvfølgelig også, at man bedre kan etablere sig i sit private liv. det kan være huskøb ellerdet at få børn. det betyder også at sandsynligheden for at man så bliver inden for sygeplejerskefaget er større, siger john christiansen. http://mu.net.dr.dk/admin/programcard/get/?id=urn:dr:mu:programcard:54f47a6f6187a411cc6fcdb0http://mu.net.dr.dk/admin/programcard/get/?id=urn:dr:mu:programcard:550949d96187a912fce98132",heidi callesen,Fyn,2012-02-15 07:23:00+00:00,https://www.dr.dk/nyheder/regionale/fyn/flyt-til-syddanmark-og-faa-sygeplejejob,DR
31,læger: drop akutlinje med sygeplejersker,"sygeplejersker bør holde sig fra akutrådgivning i region hovedstaden, mener lægeforeningen.",600 opkald i døgnet regionen vil aflaste akutmodtagelse,"den nye akutlinje i region hovedstaden, hvor specialuddannede sygeplejersker står klar til at rådgive, får nu hug af lægeforeningen. det skriver ugeskrift for læger. - region hovedstaden råder over et stort antal vagtlæger, der er eksperter. man burde overlade det til dem, der rent faktisk kan lave den slags opgaver at udføre dem, siger lægeforeningens formand mads koch hansen til ugeskrift for læger. - de kan både stille diagnose, men også fortælle præcist, hvor patienten skal gå hen, hvis de skal videre i systemet. hvorfor ikke starte med lægen, som man gør andre steder. jeg synes, det her tilbud er overflødigt og må forvirre patienten, siger han. akuttelefonen 1813 startede den 30. januar. en specialuddannet sygeplejerske modtager opkald døgnet rundt og henviser til yderligere behandling, hvis hun vurderer, at det er nødvendigt. der er i snit 600 opkald i døgnet. direktør for akutberedskabet i region hovedstaden, freddy lippert, forstår ikke kritikken: - vi ønsker dels at aflaste vores akutmodtagelser, dels at hjælpe borgerne med en let adgang til den relevante behandling. derfor har vi nu samlet disse tilbud et sted, hvor fagfolk sidder klar 24 timer i døgnet og forklarer, hvor borgeren skal søge hjælp. vi har 112 til akutte livstruende hændelser og 1813 som et døgntilbud til borgerne, siger han samtidig kritiserer forbrugerrådet den måde, som regionen har reklameret for akutlinjen på, for at være på grænsen til det lovlige.",kasper pihl møller,Indland,2012-03-03 19:42:00+00:00,https://www.dr.dk/nyheder/indland/laeger-drop-akutlinje-med-sygeplejersker,DR
32,ok at sygeplejersker passer akut-telefonen,"læger har ikke eneret på diagnoser, fastslår sundhedsstyrelsen efter kritik af akuttelefon med sygeplejersker. ",sygeplejerskerne er gode nok akuttelefon hitter,"sundhedsstyrelsen sætter nu forbrugerrådet på plads i sagen om den nye akutlinje 1813 i region hovedstaden. her sidder specialudannede sygeplejersker klar ved telefonen for at rådgive borgere, der søger sundhedsfaglige råd og vejledning. lægeforeningen har været ude efter akutlinjen, som de mener forvirrer patienterne. desuden har forbrugerrådet kritiseret region hovedstadens reklamer, som de mener er på kant med loven og henvist til, at det er forbudt for andre end læger at stille diagnoser. men den påstand maner sundhedsstyrelsen nu i jorden. - det er ikke forbeholdt nogen som helst at stille diagnoser, siger anne mette dons, chef for tilsyn og patientsikkerhed i sundhedsstyrelsen til dsr.dk - der står ikke noget i autorisationsloven om, at det kun er læger, som må stille diagnoser. så det er ikke korrekt. - sygeplejersker kan godt vurdere borgere og stille diagnoser. det gør de også af og til hos den praktiserende læge, fastslår anne mette dons. akuttelefonen i region hovedstaden startede 30. januar og har i gennemsnit 600 opkald i døgnet. formanden for landets sygeplejersker er tilfreds med, at sundhedsstyrelsen nu skærer igennem. - sundhedsstyrelsens svar er ikke til at tage fejl af. og det er godt, at der nu står helt klart, at det ikke er forbeholdt en særlig faggruppe at stille diagnoser, siger grete christensen, formand for dansk sygeplejeråd. hun håber, at medarbejderne på akuttelefonen nu kan få arbejdsro til at tage sig borgerne og dermed være med til at gøre ventetiden på skadestuerne kortere. intensionen med akuttelefonen er ikke mindst at hjælpe borgerne med at finde ud af, om de skal tage på skadestuen, til praktiserende læge eller bare holde sig lidt i ro.",bjørn schiønning,Indland,2012-03-09 14:44:17+00:00,https://www.dr.dk/nyheder/indland/ok-sygeplejersker-passer-akut-telefonen,DR
