,0
0,https://nyheder.tv2.dk/2012-01-27-paa-jagt-efter-danske-sygeplejersker
1,https://nyheder.tv2.dk/business/2012-01-19-danske-sygeplejersker-faar-job-i-norge
2,https://nyheder.tv2.dk/udland/2012-04-02-syv-er-draebt-i-amerikansk-skoleskyderi
3,https://nyheder.tv2.dk/krimi/2012-03-08-42aarig-cyklist-overlever-paakoersel
4,https://nyheder.tv2.dk/udland/2012-04-22-sudan-haevder-at-have-draebt-over-400
5,https://nyheder.tv2.dk/2012-12-07-opgoer-med-fatale-medicinfejl-traekker-ud
6,https://nyheder.tv2.dk/2012-02-25-hver-anden-har-faaet-en-fyreseddel
7,https://nyheder.tv2.dk/krimi/2012-01-10-dansker-anholdt-for-vold-i-norge
8,https://nyheder.tv2.dk/udland/2012-08-07-domstol-godkender-henrettelse-af-retarderet
9,https://nyheder.tv2.dk/udland/2012-06-21-assange-vil-blive-paa-ecuadors-ambassade
10,https://search.tv2.dk?query=sygeplejerske 2012-01&sort=relevance&page=2
11,https://nyheder.tv2.dk/udland/2012-06-21-assange-vil-blive-paa-ecuadors-ambassade
12,https://nyheder.tv2.dk/udland/2012-01-10-video-kaster-vand-paa-politisk-modstander
13,https://nyheder.tv2.dk/udland/2012-01-27-200000-i-protest-mod-spanske-nedskaeringer
14,https://nyheder.tv2.dk/business/2012-01-10-40-pengeinstitutter-forsvundet-paa-fire-aar
15,https://nyheder.tv2.dk/2012-01-24-prinsesse-marie-er-gaaet-i-foedsel
16,https://nyheder.tv2.dk/business/2012-01-17-78-risiko-for-saskonkurs
17,https://nyheder.tv2.dk/2012-01-17-styrtdyk-i-offentlige-arbejdspladser
18,https://nyheder.tv2.dk/2012-01-18-professor-beskaeftigelsesfradrag-kommer-op
19,https://nyheder.tv2.dk/2012-01-31-huse-faar-lov-at-ligge-laenge-til-salg
20,https://nyheder.tv2.dk/krimi/2012-01-22-politiet-mangler-vidner-i-drabssag
21,https://search.tv2.dk?query=sygeplejerske 2012-01&sort=relevance&page=1
22,https://search.tv2.dk?query=sygeplejerske 2012-01&sort=relevance&page=3
23,https://nyheder.tv2.dk/2012-01-24-tre-jordemoedre-staar-prinsesse-marie-bi
24,https://nyheder.tv2.dk/business/2012-01-30-finanspagt-er-ingen-mirakelkur
25,https://nyheder.tv2.dk/article.php/id-51398701:mand-d%C3%B8d-efter-styrt-fra-fisketorvets-tag.html?rss
26,https://nyheder.tv2.dk/article.php/id-47796227:nej-til-lavere-erstatning-til-kr%C3%A6ftsyge.html
27,https://nyheder.tv2.dk/article.php/id-48517447%3Afransk-pr%C3%83%C2%A6sidentbejler-truer-de-rigeste.html
28,https://nyheder.tv2.dk/udland/2012-01-30-hver-6-arbejder-i-norge-er-udlaending
29,https://nyheder.tv2.dk/2012-01-25-offentligt-ansatte-vil-ikke-arbejde-over
30,https://nyheder.tv2.dk/2012-01-13-eftersyn-af-nordsoeaftale-faar-haard-medfart
31,https://vejr.tv2.dk/2012-01-13-iskold-morgen-foeles-som-14-grader
32,https://nyheder.tv2.dk/business/2012-01-30-hver-sjette-ansat-i-norge-er-udlaending
33,https://search.tv2.dk?query=sygeplejerske 2012-01&sort=relevance&page=2
34,https://search.tv2.dk?query=sygeplejerske 2012-01&sort=relevance&page=4
35,https://nyheder.tv2.dk/2012-01-27-flyselskabet-spanair-gaar-konkurs
36,https://nyheder.tv2.dk/2012-01-16-virksomheder-vil-hente-udlaendinge
37,https://sport.tv2.dk/haandbold/2012-01-16-tometermanden-forlaenger-sin-seng
38,https://nyheder.tv2.dk/krimi/2012-01-04-jagter-bankroever-med-saerpraeget-gangart
39,https://nyheder.tv2.dk/2012-01-15-tog-hjem-fra-paris-for-at-vinke
40,https://nyheder.tv2.dk/2012-01-29-s-for-lyse-tal-om-betalingsring
41,https://nyheder.tv2.dk/business/2012-01-25-lavere-skat-faar-kun-faa-til-at-arbejde-mere
42,https://nyheder.tv2.dk/2012-01-16-dansk-oekonomi-ligger-i-top
43,https://sport.tv2.dk/fodbold/2012-01-17-uefa-presser-dansk-rejsearrangoer
44,https://sport.tv2.dk/2012-01-10-schleck-f%C3%A5r-det-sv%C3%A6rt-med-touren
45,https://search.tv2.dk?query=sygeplejerske 2012-01&sort=relevance&page=3
46,https://search.tv2.dk?query=sygeplejerske 2012-01&sort=relevance&page=5
47,https://nyheder.tv2.dk/2012-01-18-positiv-arbejdsloes-der-skal-vaere-forskel
48,https://sport.tv2.dk/2012-01-15-kj%C3%A6rs-vandkamp-gled-ti-meter
49,https://sport.tv2.dk/2012-01-19-norsk-raseri-anfald-koster-dyrt
50,https://sport.tv2.dk/2012-01-06-olsen-jubler-over-%C3%B8get-em-kamp
51,https://sport.tv2.dk/2012-01-08-vovet-wilbek-en-rigtig-testkamp
52,https://sport.tv2.dk/2012-01-20-drogba-klar-til-sommer-eventyr
53,https://sport.tv2.dk/2012-01-10-endnu-en-fck-tr%C3%A6ner-kan-fyres
54,https://sport.tv2.dk/2012-01-15-spillerne-tror-p%C3%A5-nerv%C3%B8s-em-%C3%A5bning
55,https://sport.tv2.dk/2012-01-06-wilbeks-nye-keeper-redder-danmark
56,https://sport.tv2.dk/2012-01-12-fck-spiller-lejet-ud-til-lyngby
57,https://search.tv2.dk?query=sygeplejerske 2012-01&sort=relevance&page=4
58,https://nyheder.tv2.dk/udland/2012-12-08-kraever-vaerter-fyret-efter-royal-joke
59,https://nyheder.tv2.dk/udland/2012-03-11-israelske-missiler-draeber-16-i-gaza
60,https://nyheder.tv2.dk/udland/2012-11-22-luftangreb-mod-hospital-draeber-40-i-syrien
