titles,sub_header,h2,content,author,tag,date,link,source
Danske sygeplejersker får job i Norge,"Krise, fyringer og ansættelsesstop får sygeplejerskerne til at tage til Norge for at arbejde.",Markant flere,"Antallet af danske sygeplejersker, der har fået autorisation i Norge, er næsten tredoblet på et år. Krise, fyringer og ansættelsesstop får sygeplejerskerne til at tage til Norge for at arbejde. - Sygeplejersker brænder for deres fag, og det er helt naturligt, at de søger derhen, hvor der er arbejde. Desværre har vi en situation i Danmark, hvor arbejdsgiverne har valgt ikke at ansætte alle de kompetente sygeplejersker der er, og det er meget bekymrende, siger Grete Christensen, formand for Dansk Sygeplejeråd. De seneste tal viser, at antallet af danske sygeplejersker, der har fået autorisation i Norge, er steget fra 154 i januar 2010 til 434 i januar 2011. - Det er helt afgørende, at vi herhjemme får gjort alt, hvad der er muligt for, at tilbyde vores sygeplejersker job i kommuner og regionerne, siger Grete Christensen.",Ritzau/,Penge,2012-01-19T13:27:00+00:00,https://www.dr.dk/nyheder/penge/danske-sygeplejersker-faar-job-i-norge,DR
Næsten ingen ledige sygeplejersker,Trods fyringsrunder i både 2010 og 2011 er arbejdsløsheden på 1 pct. i Region Sjælland,,"Trods fyringsrunder på sygehusene i både 2010 og 2011 og nedlæggelse af sygehuse i Faxe, Nakskov og Kalundborg, så er der meget få arbejdsløse sygeplejersker i Region Sjælland. Det seneste tal viser 85 ledige og det er en arbejdsløsheds-procent på ca.. Kredsformand Helle Dirksen er i tvivl om de ledige simpelthen er rejst andre steder hen. Hun mener ikke, sygeplejerskerne protesterede for voldsomt under fyringsrunderne: - Jeg kan godt se at mange andre faggrupper blev hårdere ramt end os, men vores bekymring gik især på de nyuddannede, som har svært ved at finmde fodfæste på arbejdsmarkedet, siger Helle Dirksen, Knap halvdelen af de 85 ledige i november var nyuddannede. Til februar bliver et nyt hold sygeplejersker færdige fra sygeplejeskolerne.",Henny Mortensen,Sjælland,2012-01-28T07:42:00+00:00,https://www.dr.dk/nyheder/regionale/sjaelland/naesten-ingen-ledige-sygeplejersker,DR
Dom i drabssag fra Skodborg i dag,I dag afgøres det om en 40-årig kvinde er skyldig i at have dræbt sin 42-årige ekskæreste i Skodborg sidste år.,,"I dag afsiges der dom i sagen om den 42-årige mand, der blev dræbt i Skodborg sidste år. Det er hans 40-årige ekskæreste, som sidder tiltalt for at have begået det brutale drab. Den 42-årige mand blev fundet død i sin seng den 4. januar sidste år af sin far. Han var bundet fast til nogle kroge i loftet. Kroge som sidenhen har vist sig at være indkøbt i forbindelse med en sexleg. Kvinden, der altså har siddet fængslet siden drabet sidste år, har hele nægtet sig skyldig. I dag klokken 10 tager nævningetinget ved retten i Esbjerg så endelig stilling til skyldsspørgsmålet. Følg med her på siden, hvor vi opdaterer med seneste nyt, så snart dommen falder.",Søren Andersen,Indland,2012-01-27T05:24:00+00:00,https://www.dr.dk/nyheder/indland/dom-i-drabssag-fra-skodborg-i-dag,DR
BILLEDSERIE: Den nye dronning,,,,Morten Top,,2012-01-08 00:00:00,https://www.dr.dk/Nyheder/Temaer/2012/Dronning/2012/01/05/04112834.htm?focusId=3884777,DR
Socialminister: Vi kommer til at lære af Rebild-sagen,"Socialminister Karen Hækkerup er overbevist om, at kommuner, politi og andre myndigheder kommer til at lære af Rebild-sagen.",,"Socialminister Karen Hækkerup er overbevist om, at kommuner, politi og andre myndigheder kommer til at lære af Rebild-sagen. Sagen, hvor en 55-årig mand er tiltalt for grove seksuelle overgreb mod egne og andres børn. Børn må aldrig opleve sådanne overgreb og vi skal gøre alt  for at stoppe det. Derfor har jeg bedt Ankestyrelsen gennemgå sagsbehandlingen og pege på, hvad vi kan gøre bedre, siger ministeren. - Det ville jo være mærkeligt, hvis vi ikke kunne lære noget af en sag, der er så omfattende og strækker sig over så lang tid. Vi har kunne lære af andre lignende sager. Det kommer vi også til at kunne af den her sag. Det er Karen Hækkerups indtryk, at Rebild - ligesom andre kommuner - gør en stor indsats for at hjælpe udsatte børn og tager sagerne utrolig alvorligt. - Men man gør det ikke altid godt nok og derfor bliver vi nødt til at lære af de sager, der er. Det skylder vi de børn, der vokser op under forhold, vores fantasi slet ikke rækker til. Karen Hækkerup fik i mandags en redegørelse om sagen af Rebild Kommune - og selv om der over tid har været mange af den slags misbrugs-sager, så blev hun alligevel chokeret over det, hun læste. - Man tager sig jo til hovedet og tænker: Det kan bare ikke være rigtigt, at børn skal opleve det her. Det var chokerende læsning og det smerter mig dybt, at børn lever sådan.",Søren K Nielsen,Nordjylland,2012-01-17T21:42:00+00:00,https://www.dr.dk/nyheder/regionale/nordjylland/socialminister-vi-kommer-til-laere-af-rebild-sagen,DR
Hjælp syge til at finde vej i labyrinten,"Behandlingsgarantier og sygehus-omdannelser kræver at patienterne får flere uafhængige patientvejledere, mener Venstre",,"Sygehusvæsenet er een stor labyrint for mange patienter. Hvad er mine rettigheder? Hvor er der kortest ventetid? Hvordan kommer jeg videre i systemet? Blot nogen af de spørgsmål, som  mange patienter går med når de bliver ramt af sygdom. Derfor skal patientvejlederne styrkes, foreslår Venstre i Region Sjælland: - Det er endnu mere nødvendigt at vejlede patienterne efter de mange omdannelser på sygehusene. Desuden er der mange lovkrav, som patienterne skal have opfyldt - det er på sin plads at se på patientvejledernes funktion, siger gruppeformanden Jens Stenbæk.  Han mener, at patientvejlederne skal være uafhængige af sygehusenes ledelser og udelukkende fokusere på at hjælpe patienterne gennem labyrinten: - Patientvejlederne skal sidde udenfor regionshuset og kun koncentrere sig om at finde de bedste og hurtigste behandlignsmuligheder for patienterne, siger Jens Stenbæk.",Henny Mortensen,Sjælland,2012-01-12T12:25:00+00:00,https://www.dr.dk/nyheder/regionale/sjaelland/hjaelp-syge-til-finde-vej-i-labyrinten,DR
Regionsformand: Jeg har ikke noget at undskylde,"Steen Bach Nielsen forstår ikke, at sygeplejersker kan føle deres ytringsfrihed krænket.",,"Der er ikke noget at undskylde eller beklage... Formanden for Region Sjælland - Steen Bach Nielsen - har ikke tænkt sig at opfylde kravet om offentlig undskyldning til ansatte på sygehuset i Nykøbing Falster. Dermed spidser striden til mellem den socialdemokratiske regionsformand og Dansk Sygeplejeråd. Rådet truer med at anmelde Steen Bach Nielsen til ombudsmanden for krænkelse af offentligt ansattes ytringsfrihed, fordi han i sagen om overdødelighed på sygehuset i Nykøbing Falster ""stærkt opfordrede"" lokalt ansatte sygeplejersker til at samarbejde ""i stedet for at diskutere"" via peressen. Regionsformanden kan ikke forstå, at sygeplejerskerne har opfattet det, som at han ville have dem til at lade være med at ytre kritik i det offentlige. - Og jeg kan jo ikke sige undskyld, fordi jeg gerne vil have en dialog, mener Steen Bach Nielsen. Der er aftalt møde onsdag formiddag mellem Region Sjælland og Dansk Sygeplejeråd. Kredsformand Helle Dirksen siger inden mødet, at DSR står fast på kravet om offentlig undskyldning og beklagelse overfor fællestillidsmanden og sygeplejerskerne i Nykøbing Falster.",Jørgen Hansen,Sjælland,2012-01-24T15:39:00+00:00,https://www.dr.dk/nyheder/regionale/sjaelland/regionsformand-jeg-har-ikke-noget-undskylde,DR
BILLEDSERIE: Gallataffel på Christiansborg,,,,Morten Greve,,2012-01-15 00:00:00,https://www.dr.dk/nyheder/temaer/2012/dronning/2012/01/15/15200219.htm?focusId=4216747,DR
Langtidsledigheden er eksploderet,"Langtidsledigheden er firedoblet, siden højkonjunkturen toppede i slutningen af 2008.",,"Paniske lønmodtagere med fast kurs mod tab af dagpenge dukker grædende op i deres a-kasse for at bede om råd. Langtidsledigheden er nemlig firedoblet, siden højkonjunkturen toppede i slutningen af 2008. Samtidig er den dobbelte langtidsledighed - andelen af ledige uden fast job i to år - tredoblet, viser tal fra LO. Allerværst er udviklingen gået ud over teknikerne. Hovedparten af de arbejdsløse medlemmer af Teknikernes a-kasse - 51 procent - er langtidsledige. Forretningsfører i a-kassen, Mariann Duvald Sørensen, kalder det for vanskelige rådgivninger, som a-kasserne står overfor, når de møder medlemmerne lige nu. - For de er jo paniske. På to et halvt år fra slutningen af 2008 til midten af 2011 er antallet af lønmodtagere, som har været arbejdsløse mindst 80 procent af tiden det seneste år, næsten firedoblet fra 15.000 til 56.000. I dag er det langt over hver tredje arbejdsløse, der også er langtidsledig, viser beregninger, som LO har foretaget. Også blandt de ufaglærte og kortuddannede 3F'ere har mere end hver fjerde ledig været uden tilknytning til arbejdsmarkedet de seneste to år. De er hårdt ramt af industriens nedtur og den transport, der er gået mere og mere i stå, fordi der ikke er varer at flytte rundt med. De ""normalt"" langtidslediges andel af det samlede antal arbejdsløse i 3F's a-kasse er 45 procent og ligger dermed langt over gennemsnittet for hele arbejdsmarkedet på 37 procent. Morten Kaspersen, formand for 3F's a-kasse, mener, at situationen for de mange medlemmer, der nærmer sig dagpengegrænsen, er uholdbar og efterlyser et politisk indgreb for at redde dem i en håbløs situation, de ikke selv er herrer over. - Krisen rammer i første omgang ufaglærte, og er de først blevet ledige, er det svært at komme i arbejde igen. For der er ikke noget at komme efter i de brancher, hvor vores medlemmer kan være beskæftiget, påpeger han. Hos Dansk Byggeri har arbejdsmarkedschef Louise Pihl meget svært ved at se nye job i branchen og råder de langtidsledige til at glemme alt om deres hidtidige beskæftigelse og få sig et job uanset hvor. Det vigtigste er at bevare jobkompetencerne. - Vi håber, at der på længere sigt, i hvert fald i anlægssektoren, vil være noget at lave. Og historien har vist, at vi så vil være i stand til at trække folk fra andre brancher med håndværksmæssig uddannelse, siger hun til Ugebrevet A4.",Asger Røjle,Penge,2012-01-16T21:15:28+00:00,https://www.dr.dk/nyheder/penge/langtidsledigheden-er-eksploderet,DR
Butikker med duft truer dit helbred,Flere og flere butikker bruger dufte som lokkemiddel. Men det kan være farligt for ansatte og kunder.,Har fokus på duftproblemer Flere bruger dufte som markedsføring,"Hvis du har arbejde i en duftende butik eller blot hang til ofte at besøge den type butikker, så risikerer du at få allergi. Det frygter myndigheder, eksperter og organisationer, efter brugen af den såkaldte duftmarkedsføring er steget kraftigt. Det skriver Politiken. I Arbejdstilsynet vil man ikke udtale sig om konkrete sager, men tilsynschef Anne Therese Schultz-Petersen fortæller, at tilsynet er begyndt at arbejde en del med problemstillingen. - Vi er blevet opmærksomme på problemet det sidste stykke tid og har fokus på det. Vi reagerer især, hvis der er allergifremkaldende stoffer, som det selvfølgelig ikke er godt for de ansatte at stå i, siger hun til Politiken. - Helt overordnet er det unødig udsættelse af de ansatte, når der bruges parfume med den slags stoffer, siger Anne Therese Schultz-Petersen. Den amerikanske tøjkæde Abercrombie & Fitch er kendt for sin store brug af parfume i butikkerne verden over, og Arbejdstilsynet har det sidste år forsøgt at få modekæden til at beskytte de ansatte bedre mod de store mængder parfume. Jeanne Duus Hansen, der er leder ved Videnscenter for Allergi, advarer mod, at de mange dufte kan give allergi. - Som udgangspunkt vil man kunne udvikle allergi, hvis man har en daglig kontakt med parfume, der indeholder allergifremkaldende stoffer, siger hun til Politiken. Flere og flere butikker bruger ifølge rapporten 'Vækst via Oplevelser 2011' duftmarkedsføring. I 2008 svarede 34 procent af de danske virksomheder, at de brugte oplevelser som dufte og musik i deres markedsføring. I 2011 var tallet steget til 47 procent.",Politiken,Indland,2012-01-14T05:59:00+00:00,https://www.dr.dk/nyheder/indland/butikker-med-duft-truer-dit-helbred,DR
