,links
0,https://www.dr.dk/nyheder/regionale/sjaelland/naesten-ingen-ledige-sygeplejersker
1,https://www.dr.dk/nyheder/penge/danske-sygeplejersker-faar-job-i-norge
2,https://www.dr.dk/nyheder/indland/dom-i-drabssag-fra-skodborg-i-dag
3,https://www.dr.dk/nyheder/regionale/nordjylland/socialminister-vi-kommer-til-laere-af-rebild-sagen
4,https://www.dr.dk/nyheder/regionale/sjaelland/hjaelp-syge-til-finde-vej-i-labyrinten
5,https://www.dr.dk/nyheder/regionale/trekanten/doede-af-legionaersyge
6,https://www.dr.dk/nyheder/regionale/sjaelland/regionsformand-jeg-har-ikke-noget-undskylde
7,https://www.dr.dk/nyheder/regionale/hovedstadsomraadet/v-politiker-demonstranter-er-klynkere
8,https://www.dr.dk/nyheder/penge/langtidsledigheden-er-eksploderet
9,https://www.dr.dk/nyheder/indland/butikker-med-duft-truer-dit-helbred
10,https://www.dr.dk/nyheder/regionale/sjaelland/naesten-ingen-ledige-sygeplejersker
11,https://www.dr.dk/nyheder/penge/danske-sygeplejersker-faar-job-i-norge
12,https://www.dr.dk/nyheder/indland/dom-i-drabssag-fra-skodborg-i-dag
13,https://www.dr.dk/nyheder/regionale/nordjylland/socialminister-vi-kommer-til-laere-af-rebild-sagen
14,https://www.dr.dk/nyheder/regionale/sjaelland/hjaelp-syge-til-finde-vej-i-labyrinten
15,https://www.dr.dk/nyheder/regionale/trekanten/doede-af-legionaersyge
16,https://www.dr.dk/nyheder/regionale/sjaelland/regionsformand-jeg-har-ikke-noget-undskylde
17,https://www.dr.dk/nyheder/regionale/hovedstadsomraadet/v-politiker-demonstranter-er-klynkere
18,https://www.dr.dk/nyheder/penge/langtidsledigheden-er-eksploderet
19,https://www.dr.dk/nyheder/indland/butikker-med-duft-truer-dit-helbred
20,https://www.dr.dk/nyheder/regionale/oestjylland/bil-bragede-ind-i-hus
21,https://www.dr.dk/nyheder/regionale/noah-noah
22,https://www.dr.dk/Nyheder/Temaer/2012/Dronning/2012/01/05/04150451.htm?focusId=3511365
23,https://www.dr.dk/Nyheder/Temaer/2012/EU/2012/01/11/201927.htm?focusId=3776286
24,https://www.dr.dk/nyheder/politik/pia-k-om-breivikteater-jeg-har-kvalme
25,https://www.dr.dk/nyheder/temaer/2012/eu/2012/01/09/113508.htm?focusId=4071482
26,https://www.dr.dk/nyheder/temaer/2012/dronning/2012/01/15/15200219.htm?focusId=3573180
27,https://www.dr.dk/nyheder/kultur/mere-om-projektet
28,https://www.dr.dk/nyheder/regionale/hovedstadsomraadet/landsby-vil-have-koebenhavnere
29,https://www.dr.dk/nyheder/politik/regeringen-lyn-lukker-vaerdikommissionen
30,https://www.dr.dk/nyheder/regionale/sjaelland/naesten-ingen-ledige-sygeplejersker
31,https://www.dr.dk/nyheder/penge/danske-sygeplejersker-faar-job-i-norge
32,https://www.dr.dk/nyheder/indland/dom-i-drabssag-fra-skodborg-i-dag
33,https://www.dr.dk/nyheder/regionale/nordjylland/socialminister-vi-kommer-til-laere-af-rebild-sagen
34,https://www.dr.dk/nyheder/regionale/sjaelland/hjaelp-syge-til-finde-vej-i-labyrinten
35,https://www.dr.dk/nyheder/regionale/trekanten/doede-af-legionaersyge
36,https://www.dr.dk/nyheder/regionale/sjaelland/regionsformand-jeg-har-ikke-noget-undskylde
37,https://www.dr.dk/nyheder/regionale/hovedstadsomraadet/v-politiker-demonstranter-er-klynkere
38,https://www.dr.dk/nyheder/penge/langtidsledigheden-er-eksploderet
39,https://www.dr.dk/nyheder/indland/butikker-med-duft-truer-dit-helbred
40,https://www.dr.dk/nyheder/regionale/oestjylland/bil-bragede-ind-i-hus
41,https://www.dr.dk/nyheder/regionale/noah-noah
42,https://www.dr.dk/Nyheder/Temaer/2012/Dronning/2012/01/05/04150451.htm?focusId=3511365
43,https://www.dr.dk/Nyheder/Temaer/2012/EU/2012/01/11/201927.htm?focusId=3776286
44,https://www.dr.dk/nyheder/politik/pia-k-om-breivikteater-jeg-har-kvalme
45,https://www.dr.dk/nyheder/temaer/2012/eu/2012/01/09/113508.htm?focusId=4071482
46,https://www.dr.dk/nyheder/temaer/2012/dronning/2012/01/15/15200219.htm?focusId=3573180
47,https://www.dr.dk/nyheder/kultur/mere-om-projektet
