,links
0,https://www.dr.dk/nyheder/regionale/syd/nyuddannede-sygeplejersker-faar-job
1,https://www.dr.dk/nyheder/regionale/hovedstadsomraadet/psykiatere-undlod-fortaelle-om-fejl
2,https://www.dr.dk/nyheder/indland/nu-skal-et-vaere-slut-sygehus-ansattes-misbrug-stoppes
3,https://www.dr.dk/nyheder/regionale/syd/sygeplejerskeuddannelsen-i-soenderborg-i-front
4,https://www.dr.dk/nyheder/udland/professor-i-retten-breivik-har-tourettes-syndrom
5,https://www.dr.dk/Nyheder/Billedserier/2012/06/06073555.htm
6,https://www.dr.dk/nyheder/din-mening-hvorfor-er-socialdemokraterne-i-krise
7,https://www.dr.dk/nyheder/regionale/sjaelland/fra-skolebaenk-til-arbejdsloeshedskoe
8,https://www.dr.dk/nyheder/billedserie-jaguarunger-foedt-i-berlins-zoo
9,https://www.dr.dk/nyheder/regionale/trekanten/21-aarig-draebt-i-christiansfeld
20,https://www.dr.dk/nyheder/udland/breiviks-mor-ville-have-lukkede-doere-i-retten
21,https://www.dr.dk/nyheder/penge/landbruget-mangler-sanktioner-mod-kriminelle-bagmaend
22,https://www.dr.dk/nyheder/regionale/syd/foraeldre-vil-redde-dagplejen
23,https://www.dr.dk/nyheder/politik/sundhedsministeren-vil-ikke-aendre-loven
24,https://www.dr.dk/nyheder/indland/1000-videoer-skal-hjaelpe-talsvage-elever
25,https://www.dr.dk/nyheder/regionale/trekanten/40-aarig-anholdt-drab-i-christiansfeld
26,https://www.dr.dk/nyheder/kultur/musik/travelling-tribes-aabner-dagens-program-live
27,https://www.dr.dk/nyheder/politik/loekke-erstattes-af-fire-venstre-folk-i-allinge
28,https://www.dr.dk/nyheder/indland/flere-selvmord-paa-jernbaneskinnerne
29,https://www.dr.dk/nyheder/regionale/syd/tumult-resulterede-i-flere-boeder-til-samme-mand
50,https://www.dr.dk/nyheder/regionale/midtvest/ingen-afgoerelse-om-skandaleprojekt
51,https://www.dr.dk/nyheder/regionale/fyn/mange-regler-om-tomme-bygninger
52,https://www.dr.dk/nyheder/indland/lokofoererne-rammes-haardt-ved-selvmord
53,https://www.dr.dk/nyheder/regionale/fyn/merete-riisager
54,https://www.dr.dk/nyheder/penge/skattesnyd-op-til-800-mio-kr-i-medicinalselskaber
55,https://www.dr.dk/nyheder/regionale/syd/haere-fremstilles-i-grundlovsforhoer
56,https://www.dr.dk/nyheder/politik/minister-vi-skaerer-tre-maaneder-af-forsinkelsen-paa-uddannelse
57,https://www.dr.dk/nyheder/regionale/hovedstadsomraadet/danmarks-stoerste-vaeksttalent-kaaret
58,https://www.dr.dk/nyheder/billedserier/2012/06/09142630.htm?focusId=3511826
59,https://www.dr.dk/nyheder/indland/penkowa-afviser-manipulation-af-forskning
90,https://www.dr.dk/nyheder/billedserier/2012/06/09142630.htm?focusId=3279439
91,https://www.dr.dk/nyheder/politik/ftf-har-regnet-paa-det-laerer-i-fleksjob-mister-8000-kroner
92,/search?biw=1036&bih=670&q=related:https://www.dr.dk/nyheder/politik/ftf-har-regnet-paa-det-laerer-i-fleksjob-mister-8000-kroner&sa=X&ved=2ahUKEwiGm5qL8Mb5AhUO66QKHWi-DPo4HhAfegQIBRAJ
93,https://www.dr.dk/nyheder/indland/smileyordning-faar-elever-til-moede-til-tiden
94,https://www.dr.dk/nyheder/kultur/kulturklubber/ole-lauridsen
95,https://www.dr.dk/Nyheder/Billedserier/2012/06/16144203.htm?focusId=4113762
96,https://www.dr.dk/nyheder/politik/scorer-du-12000-kroner-paa-skatteaftalen
97,https://www.dr.dk/Nyheder/Billedserier/2012/06/13081326.htm?focusId=3588533
98,https://www.dr.dk/Nyheder/Billedserier/2012/06/07124249.htm?focusId=3406892
99,https://www.dr.dk/nyheder/regionale/syd/borger-angreb-vagtmand-paa-raadhus
100,https://www.dr.dk/nyheder/politik/flere-partier-vil-ikke-med-paa-kina-tur
142,https://www.dr.dk/nyheder/politik/avis-ozlem-cekic-overvejer-enhedslisten
143,https://www.dr.dk/nyheder/regionale/midtvest/intet-ulovligt-ved-raadhuskunst-i-viborg
144,https://www.dr.dk/nyheder/billedserier/2012/06/09142630.htm
145,https://www.dr.dk/Nyheder/Billedserier/2012/06/13081326.htm?focusId=3079533
146,https://www.dr.dk/Nyheder/Artikler/2012/06/26/131015.htm?focusId=3523140
147,https://www.dr.dk/Nyheder/Artikler/2012/06/26/074740.htm?focusId=4182573
148,https://www.dr.dk/Nyheder/Billedserier/2012/06/12072509.htm?focusId=3164886
149,https://www.dr.dk/nyheder/baggrund/2012/06/27/134242.htm?focusId=4187280
150,https://www.dr.dk/nyheder/regionale/nordjylland/kraever-mangedobling-af-kvoten-tobis
151,https://www.dr.dk/nyheder/billedserier/2012/06/05172538.htm?focusId=3587904
203,https://www.dr.dk/nyheder/billedserier/2012/06/27165539.htm?focusId=3485810
204,https://www.dr.dk/nyheder/kultur/musik/redaktionen-er-flyttet-ned-i-en-pavillon-i-niels-hemmingsens-gade-og-arbejder
205,https://www.dr.dk/nyheder/billedserier/2012/06/06081804.htm?focusId=3737202
