,links
0,https://www.dr.dk/nyheder/regionale/sjaelland/mangel-paa-sygeplejersker-fremskyndede-akutlukning
1,/search?q=related:https://www.dr.dk/nyheder/regionale/sjaelland/mangel-paa-sygeplejersker-fremskyndede-akutlukning&sa=X&ved=2ahUKEwjy6r2S7sj5AhUP2aQKHWKzD0wQH3oECAMQCA
2,https://www.dr.dk/nyheder/politik/danske-universiteter-skal-uddanne-mexicanere-i-kampen-mod-diabetes
3,https://www.dr.dk/nyheder/indland/boern-og-unge-bliver-nedprioriteret-politiet-svigter-ssp-arbejdet
4,/search?q=related:https://www.dr.dk/nyheder/indland/boern-og-unge-bliver-nedprioriteret-politiet-svigter-ssp-arbejdet&sa=X&ved=2ahUKEwjy6r2S7sj5AhUP2aQKHWKzD0wQH3oECAIQCQ
5,https://www.dr.dk/nyheder/indland/patienter-og-paaroerende-vil-ogsaa-hoeres
6,/search?q=related:https://www.dr.dk/nyheder/indland/patienter-og-paaroerende-vil-ogsaa-hoeres&sa=X&ved=2ahUKEwjy6r2S7sj5AhUP2aQKHWKzD0wQH3oECAQQCQ
7,https://www.dr.dk/nyheder/regionale/hovedstadsomraadet/nyt-it-system-paa-sjaellandske-hospitaler-giver-mere-ventetid
8,/search?q=related:https://www.dr.dk/nyheder/regionale/hovedstadsomraadet/nyt-it-system-paa-sjaellandske-hospitaler-giver-mere-ventetid&sa=X&ved=2ahUKEwjy6r2S7sj5AhUP2aQKHWKzD0wQH3oECAUQCQ
9,https://www.dr.dk/nyheder/tema/sygeplejerske-sagen
10,/search?q=related:https://www.dr.dk/nyheder/tema/sygeplejerske-sagen&sa=X&ved=2ahUKEwjy6r2S7sj5AhUP2aQKHWKzD0wQH3oECAcQCQ
11,https://www.dr.dk/nyheder/politik/handicappede-frygter-stadig-nedskaeringer-i-boligydelsen
12,https://www.dr.dk/nyheder/indland/retsordfoerere-justitsminister-maa-igen-forklare-sig-i-mobilsag
13,https://www.dr.dk/nyheder/regionale/midtvest/fire-udenlandske-laeger-tager-over-efter-landets-travleste-laege
14,/search?q=related:https://www.dr.dk/nyheder/regionale/midtvest/fire-udenlandske-laeger-tager-over-efter-landets-travleste-laege&sa=X&ved=2ahUKEwjy6r2S7sj5AhUP2aQKHWKzD0wQH3oECBoQCQ
15,https://www.dr.dk/nyheder/politik/sundhedsordfoerere-kraever-handling-cuttere-skal-kunne-faa-hjaelp
16,/search?q=related:https://www.dr.dk/nyheder/politik/sundhedsordfoerere-kraever-handling-cuttere-skal-kunne-faa-hjaelp&sa=X&ved=2ahUKEwjy6r2S7sj5AhUP2aQKHWKzD0wQH3oECBsQCQ
34,https://www.dr.dk/nyheder/indland/ministeren-om-donation-civilsamfundet-kan-noget-som-staten-og-kommunerne-ikke-kan
35,https://www.dr.dk/nyheder/tema/terror-i-bruxelles
36,/search?biw=1036&bih=670&q=related:https://www.dr.dk/nyheder/tema/terror-i-bruxelles&sa=X&ved=2ahUKEwjE6P-S7sj5AhUBrKQKHb5LCRU4ChAfegQIAhAJ
37,https://www.dr.dk/nyheder/tema/terrorsagen
38,/search?biw=1036&bih=670&q=related:https://www.dr.dk/nyheder/tema/terrorsagen&sa=X&ved=2ahUKEwjE6P-S7sj5AhUBrKQKHb5LCRU4ChAfegQIBRAJ
39,https://www.dr.dk/nyheder/regionale/fyn/hjerneskadeforeningen-syge-og-paaroerende-bliver-kastebolde-i-kommunerne
40,https://www.dr.dk/nyheder/penge/fona-overlever-i-foerste-omgang
41,https://www.dr.dk/nyheder/kultur/klassisk/carlnielsen2016-english/verdict-contestants-who-have-made-it-final
42,https://www.dr.dk/nyheder/udland/islamister-draeber-professor-i-bangladesh-med-machete
43,https://www.dr.dk/nyheder/indland/politilektor-pres-paa-politiet-er-bekymrende
44,https://www.dr.dk/nyheder/indland/kommune-efterladt-spaedbarn-skal-i-plejefamilie
45,https://www.dr.dk/nyheder/regionale/sjaelland/landmand-bruger-jaegere-redde-dyreunger-foer-hoesten
75,https://www.dr.dk/nyheder/indland/sygeplejerske-sundhedsplatformen-goer-patienterne-mere-trygge
76,/search?q=related:https://www.dr.dk/nyheder/indland/sygeplejerske-sundhedsplatformen-goer-patienterne-mere-trygge&sa=X&ved=2ahUKEwjMt_6g7sj5AhV-wQIHHT5aAEgQH3oECA0QCQ
77,https://www.dr.dk/nyheder/tema/en-syg-forskel
78,/search?q=related:https://www.dr.dk/nyheder/tema/en-syg-forskel&sa=X&ved=2ahUKEwjMt_6g7sj5AhV-wQIHHT5aAEgQH3oECAoQCQ
79,https://www.dr.dk/nyheder/indland/private-sundhedstilbud-splitter-danskerne
80,/search?q=related:https://www.dr.dk/nyheder/indland/private-sundhedstilbud-splitter-danskerne&sa=X&ved=2ahUKEwjMt_6g7sj5AhV-wQIHHT5aAEgQH3oECA8QCQ
82,/search?q=related:https://www.dr.dk/nyheder/tema/sygeplejerske-sagen&sa=X&ved=2ahUKEwjMt_6g7sj5AhV-wQIHHT5aAEgQH3oECAsQCQ
83,https://www.dr.dk/nyheder/indland/private-sundhedsudbydere-myldrer-frem
84,/search?q=related:https://www.dr.dk/nyheder/indland/private-sundhedsudbydere-myldrer-frem&sa=X&ved=2ahUKEwjMt_6g7sj5AhV-wQIHHT5aAEgQH3oECBAQCQ
85,https://www.dr.dk/nyheder/indland/dansk-sygeplejeraad-private-sygeplejersker-er-en-glidebane
86,/search?q=related:https://www.dr.dk/nyheder/indland/dansk-sygeplejeraad-private-sygeplejersker-er-en-glidebane&sa=X&ved=2ahUKEwjMt_6g7sj5AhV-wQIHHT5aAEgQH3oECBEQCQ
87,https://www.dr.dk/nyheder/politik/s-vil-afhjaelpe-laegemangel-ved-specialuddanne-sygeplejersker
88,https://www.dr.dk/nyheder/regionale/syd/sygeplejersker-skal-erstatte-ambulancereddere
89,https://www.dr.dk/nyheder/indland/din-mening-er-mere-privat-sygepleje-en-god-udvikling
90,https://www.dr.dk/nyheder/indland/video-en-syg-forskel-jan-kommer-alene-til-kraeftskanning
91,/search?q=related:https://www.dr.dk/nyheder/indland/video-en-syg-forskel-jan-kommer-alene-til-kraeftskanning&sa=X&ved=2ahUKEwjMt_6g7sj5AhV-wQIHHT5aAEgQH3oECB0QCQ
138,https://www.dr.dk/nyheder/regionale/nordjylland/saarbare-aeldre-ned-til-65-aar-faar-hjemmebesoeg
139,https://www.dr.dk/nyheder/indland/danske-patienter-frygter-et-og-b-hold-med-flere-private-sundhedsudbydere
140,/search?biw=1036&bih=670&q=related:https://www.dr.dk/nyheder/indland/danske-patienter-frygter-et-og-b-hold-med-flere-private-sundhedsudbydere&sa=X&ved=2ahUKEwjLwMCh7sj5AhUID-wKHak4DF04ChAfegQIBxAJ
141,https://www.dr.dk/nyheder/indland/eksperter-om-flere-private-sundhedstilbud-danskerne-er-blevet-mere-kraesne
142,https://www.dr.dk/nyheder/indland/kan-vi-finde-kuren-til-fjerne-ulighed-i-sundhedssystemet
143,/search?biw=1036&bih=670&q=related:https://www.dr.dk/nyheder/indland/kan-vi-finde-kuren-til-fjerne-ulighed-i-sundhedssystemet&sa=X&ved=2ahUKEwjLwMCh7sj5AhUID-wKHak4DF04ChAfegQICRAJ
144,https://www.dr.dk/nyheder/indland/laege-der-er-jo-ingen-i-danmark-der-ikke-ved-rygning-er-usundt
